src_file,impl,attrCount,revealRatio,issuer_ms,wallet_ms,verifier_ms,issuer_cpu_ms,wallet_cpu_ms,verifier_cpu_ms,payload_present_bytes,vc_size_bytes,e2e_ms,type
bbsplus.jsonl,json-bbs-plus,5,0.2,36.51849199999924,211.45521999999983,50.58450599999924,105.625,384.778,64.873,1012.0,948.0,298.5582179999983,run
bbsplus.jsonl,json-bbs-plus,5,0.2,22.53105499999947,163.1033520000001,47.238210000001345,24.99,189.317,55.342,1012.0,948.0,232.8726170000009,run
bbsplus.jsonl,json-bbs-plus,5,0.2,22.456482999999935,162.72562800000014,51.9477820000011,24.932,182.075,58.223,1012.0,948.0,237.12989300000118,run
bbsplus.jsonl,json-bbs-plus,5,0.2,22.641153000000486,177.01775300000008,64.63771199999974,26.431,200.657,71.787,1012.0,948.0,264.2966180000003,run
bbsplus.jsonl,json-bbs-plus,5,0.2,23.741167000000132,162.34712800000125,47.82079999999951,26.341,187.237,53.1,1012.0,948.0,233.9090950000009,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.732750000001033,154.86780200000067,47.30523399999947,23.036,186.866,53.021,1012.0,948.0,222.90578600000117,run
bbsplus.jsonl,json-bbs-plus,5,0.2,21.909348000001046,162.0578889999997,47.209734000000026,24.34,188.394,59.477,1012.0,948.0,231.17697100000078,run
bbsplus.jsonl,json-bbs-plus,5,0.2,22.432569999999032,162.364415,48.725868999999875,24.904,181.147,54.108,1012.0,948.0,233.52285399999892,run
bbsplus.jsonl,json-bbs-plus,5,0.2,21.514483000000837,156.71458100000018,47.166921,23.974,179.461,52.384,1012.0,948.0,225.39598500000102,run
bbsplus.jsonl,json-bbs-plus,5,0.2,21.601606000000174,161.06155300000137,48.34669300000132,30.7,186.582,53.661,1012.0,948.0,231.00985200000287,run
bbsplus.jsonl,json-bbs-plus,5,0.2,21.70746599999984,157.28203399999984,46.96732999999949,24.094,190.617,59.214,1012.0,948.0,225.95682999999917,run
bbsplus.jsonl,json-bbs-plus,5,0.2,22.46985499999937,165.104421,51.92729500000132,24.94,185.792,60.015,1012.0,948.0,239.5015710000007,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.025471000000834,155.6039440000004,49.353290999999444,22.234,174.627,54.823,1012.0,948.0,224.9827060000007,run
bbsplus.jsonl,json-bbs-plus,5,0.2,22.270129000000452,157.79917899999964,48.283212999998796,24.732,178.369,53.632,1012.0,948.0,228.3525209999989,run
bbsplus.jsonl,json-bbs-plus,5,0.2,21.06517299999905,159.82240300000012,50.16546600000038,23.397,177.632,55.71,1012.0,948.0,231.05304199999955,run
bbsplus.jsonl,json-bbs-plus,5,0.2,23.204546999999366,165.5484030000007,47.684173999999985,25.762,191.817,52.961,1012.0,948.0,236.43712400000004,run
bbsplus.jsonl,json-bbs-plus,5,0.2,19.90291199999956,152.85780599999998,46.44176300000072,22.102,170.661,51.585,1012.0,948.0,219.20248100000026,run
bbsplus.jsonl,json-bbs-plus,5,0.2,21.566376000000673,158.53286899999875,47.58715099999972,24.156,178.699,52.853,1012.0,948.0,227.68639599999915,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.565403000000515,154.83121000000028,47.68957600000067,22.835,174.354,53.634,1012.0,948.0,223.08618900000147,run
bbsplus.jsonl,json-bbs-plus,5,0.2,23.196368000000803,171.94465800000035,45.76034499999878,26.473,194.096,50.826,1012.0,948.0,240.90137099999993,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.023388999998133,157.1557580000008,46.83960200000001,22.239,182.364,58.801,1012.0,948.0,224.01874899999893,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.38277200000084,173.61872499999663,46.864165999999386,31.299,224.198,52.05,1012.0,948.0,240.86566299999686,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.687512999997125,154.73823600000105,51.0880619999989,24.099,173.227,56.74,1012.0,948.0,226.51381099999708,run
bbsplus.jsonl,json-bbs-plus,5,0.2,25.929811999998492,168.01303899999766,48.73613800000021,30.786,188.711,54.13,1012.0,948.0,242.67898899999636,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.967545999999857,152.33759400000054,47.035876999998436,23.123,171.241,52.244,1012.0,948.0,220.34101699999883,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.226497999999992,148.02647600000273,46.61612400000013,29.019,172.642,52.715,1012.0,948.0,214.86909800000285,run
bbsplus.jsonl,json-bbs-plus,5,0.2,23.693100000000413,157.3358560000015,49.13415099999838,26.273,178.225,54.735,1012.0,948.0,230.1631070000003,run
bbsplus.jsonl,json-bbs-plus,5,0.2,19.934715999999753,149.5668020000012,48.635949999999866,22.137,173.759,54.016,1012.0,948.0,218.1374680000008,run
bbsplus.jsonl,json-bbs-plus,5,0.2,19.86706100000083,170.49687300000005,55.162897000001976,22.067,194.959,61.27,1012.0,948.0,245.52683100000286,run
bbsplus.jsonl,json-bbs-plus,5,0.2,22.605013000000326,157.58949700000085,47.24930999999924,25.102,175.155,52.473,1012.0,948.0,227.44382000000041,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.806157999999414,156.14750899999854,48.087460999999166,23.103,174.851,53.409,1012.0,948.0,225.04112799999712,run
bbsplus.jsonl,json-bbs-plus,5,0.2,23.048000999999203,177.37724399999934,46.291917000002286,25.592,197.648,51.4,1012.0,948.0,246.71716200000083,run
bbsplus.jsonl,json-bbs-plus,5,0.2,20.32930999999735,154.0860329999996,46.97250500000155,22.574,172.335,52.163,1012.0,948.0,221.38784799999848,run
