src_file,impl,attrCount,revealRatio,issuer_ms,wallet_ms,verifier_ms,issuer_cpu_ms,wallet_cpu_ms,verifier_cpu_ms,payload_present_bytes,vc_size_bytes,e2e_ms,type
bbsplus.jsonl,json-bbs-plus,5,0.2,7.560029000000213,44.070818999999574,5.524342000000615,13.536,73.653,9.108,1012.0,948.0,57.1551900000004,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.982596999999259,30.144710999999916,5.45896299999913,4.757,28.908,5.21,1012.0,948.0,40.586270999998305,run
bbsplus.jsonl,json-bbs-plus,5,0.2,6.963956999999937,29.488587000000734,5.5379689999999755,7.978,30.114,5.292,1012.0,948.0,41.99051300000065,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.698108999999931,25.329123999999865,5.284888000000137,4.489,26.189,5.053,1012.0,948.0,35.312120999999934,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.849887000000308,26.631554999999935,5.4102670000002036,4.636,25.545,5.172,1012.0,948.0,36.891709000000446,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.685174000000188,26.270668000000114,5.399183999999877,4.479,25.18,5.162,1012.0,948.0,36.35502600000018,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.654529999999795,25.916377999999895,5.3940450000000055,4.452,24.829,5.158,1012.0,948.0,35.964952999999696,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.716005999999652,26.180616000000555,5.306426000000101,4.514,25.652,5.073,1012.0,948.0,36.20304800000031,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.885527999999795,28.19444999999996,5.330109999999877,4.69,30.872,5.096,1012.0,948.0,38.41008799999963,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.77130599999964,25.607662999999775,5.346498999999312,4.554,24.854,5.111,1012.0,948.0,35.72546799999873,run
bbsplus.jsonl,json-bbs-plus,5,0.2,5.239015999999538,25.822390999999698,5.318640000000414,4.995,24.733,5.087,1012.0,948.0,36.38004699999965,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.692950000000565,26.049847000000227,5.346812999999202,4.487,24.959,5.114,1012.0,948.0,36.08960999999999,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.60552000000007,25.700074000000313,5.351020000000062,4.406,25.097,5.119,1012.0,948.0,35.656614000000445,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.542610999999852,25.67015899999933,5.29925700000058,4.348,26.143,5.069,1012.0,948.0,35.51202699999976,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.55041700000038,24.74097400000028,5.273710999999821,4.351,23.706,5.045,1012.0,948.0,34.56510200000048,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.804420000000391,25.565051999999923,5.325996999999916,4.597,25.975,6.208,1012.0,948.0,35.69546900000023,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.607905999999275,24.550196000000142,5.302857000000586,4.393,23.518,5.073,1012.0,948.0,34.460959,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.545599000000038,25.0499949999994,5.360733000000437,4.316,28.426,5.128,1012.0,948.0,34.956326999999874,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.680076999999983,25.41456500000004,5.360313000000133,4.463,24.872,5.347,1012.0,948.0,35.454955000000155,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.571856999999909,26.429807999999866,5.505043000000114,4.659,30.253,5.266,1012.0,948.0,36.50670799999989,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.569454999999834,25.591245999999956,5.466687000000093,4.369,28.862,9.567,1012.0,948.0,35.62738799999988,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.74373899999955,25.819618000000446,5.341663999999582,4.534,24.743,5.105,1012.0,948.0,35.90502099999958,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.9534709999998086,26.931149000000005,5.396660999999767,5.16,26.428,5.159,1012.0,948.0,37.28128099999958,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.762504999999692,25.076086000000032,5.354976999999963,6.016,25.492,5.121,1012.0,948.0,35.193567999999686,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.512438000000657,24.692889999999352,5.32869699999992,4.315,23.658,5.096,1012.0,948.0,34.53402499999993,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.502402000000075,28.737121000000116,5.411334000000352,4.306,34.356,5.167,1012.0,948.0,38.65085700000054,run
bbsplus.jsonl,json-bbs-plus,5,0.2,5.187243000000308,28.0315470000005,5.332464999999502,4.951,38.718,5.099,1012.0,948.0,38.55125500000031,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.5993289999996705,24.873015000000123,5.218545999999151,4.398,23.819,4.992,1012.0,948.0,34.690889999998944,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.995009000000209,25.144822999999633,5.248426000000109,4.745,26.646,5.02,1012.0,948.0,35.38825799999995,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.45274100000006,23.973371000000043,5.275427000000491,4.255,22.956,5.046,1012.0,948.0,33.701539000000594,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.430429000000004,24.296947000000728,5.238985999999386,4.239,23.642,5.012,1012.0,948.0,33.96636200000012,run
bbsplus.jsonl,json-bbs-plus,5,0.2,5.108049999999821,25.006540000000314,5.2112099999994825,4.878,24.278,4.984,1012.0,948.0,35.32579999999962,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.480872999999519,24.366272000000208,5.243443999999727,4.283,24.292,5.015,1012.0,948.0,34.090588999999454,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.485373999999865,24.17908400000033,5.2596340000000055,4.29,23.139,5.03,1012.0,948.0,33.9240920000002,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.682662999999593,25.489762000000155,5.296787999999651,4.478,25.674,5.065,1012.0,948.0,35.4692129999994,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.584096999999929,25.68348100000003,5.321811000000707,4.386,24.57,5.09,1012.0,948.0,35.589389000000665,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.610982999999578,25.84468300000026,5.318178999999873,5.296,27.138,5.087,1012.0,948.0,35.77384499999971,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.600202999999965,25.375278000000435,5.347765999999865,4.4,25.005,5.116,1012.0,948.0,35.323247000000265,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.62713100000019,25.29957900000045,5.465995999999905,4.43,24.253,5.228,1012.0,948.0,35.392706000000544,run
bbsplus.jsonl,json-bbs-plus,5,0.2,5.249681000000237,25.806023000000096,5.334108000000015,5.013,26.372,6.751,1012.0,948.0,36.38981200000035,run
bbsplus.jsonl,json-bbs-plus,5,0.2,5.088383999999678,25.387606000000233,5.305945000000065,4.86,24.335,5.075,1012.0,948.0,35.781934999999976,run
bbsplus.jsonl,json-bbs-plus,5,0.2,6.13198999999986,27.444749999999658,5.337111999999252,9.239,29.996,5.101,1012.0,948.0,38.91385199999877,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.641960999999355,25.51428399999986,5.31619099999989,4.437,26.311,5.083,1012.0,948.0,35.47243599999911,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.63798399999996,25.524653999999828,5.732283999999709,4.431,24.464,5.471,1012.0,948.0,35.8949219999995,run
bbsplus.jsonl,json-bbs-plus,5,0.2,4.623583999999937,25.119736999999986,5.3220940000001065,4.418,24.049,5.09,1012.0,948.0,35.06541500000003,run
bbsplus.jsonl,json-bbs-plus,5,0.2,5.2328630000001795,26.651795999999194,5.31129300000066,4.959,25.687,5.08,1012.0,948.0,37.195952000000034,run
