src_file,impl,attrCount,revealRatio,issuer_ms,wallet_ms,verifier_ms,issuer_cpu_ms,wallet_cpu_ms,verifier_cpu_ms,payload_present_bytes,vc_size_bytes,e2e_ms,type
bbsplus.jsonl,json-bbs-plus,5,0.2,14.177286999999978,95.66627800000015,24.421570999999858,40.094,173.456,30.291,1012.0,948.0,134.26513599999998,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.179345999999896,79.92679899999985,23.98927599999979,11.095,90.232,27.516,1012.0,948.0,114.09542099999953,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.032554999999775,73.33990200000017,22.519263000000137,10.937,81.267,25.081,1012.0,948.0,105.89172000000008,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.379369000000224,78.5650099999998,23.378402999999707,12.892,89.418,25.498,1012.0,948.0,112.32278199999973,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.933338000000276,78.80393999999978,24.068637000000308,11.919,89.395,26.251,1012.0,948.0,113.80591500000037,run
bbsplus.jsonl,json-bbs-plus,5,0.2,9.983970000000227,75.47910899999988,21.377676999999494,10.93,90.075,23.765,1012.0,948.0,106.8407559999996,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.82830599999943,76.78764600000068,24.0960070000001,11.808,87.109,29.603,1012.0,948.0,111.7119590000002,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.224701000000096,74.4040530000002,22.478382999999667,11.133,81.589,24.51,1012.0,948.0,107.10713699999997,run
bbsplus.jsonl,json-bbs-plus,5,0.2,9.733009999999922,73.09850800000004,22.179463000000396,10.641,82.794,24.185,1012.0,948.0,105.01098100000036,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.493529999999737,74.77102999999988,22.422432999999728,15.896,86.569,24.448,1012.0,948.0,107.68699299999935,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.131395999999768,81.29118500000004,25.347013000000516,11.044,95.808,31.246,1012.0,948.0,116.76959400000032,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.136050999999497,79.48808599999938,24.810276000000158,11.041,87.654,28.004,1012.0,948.0,114.43441299999904,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.57880699999987,77.74910099999943,23.99394200000006,11.531,86.013,26.167,1012.0,948.0,112.32184999999936,run
bbsplus.jsonl,json-bbs-plus,5,0.2,9.86721099999977,72.13391899999988,22.136655000000246,10.76,80.451,24.142,1012.0,948.0,104.1377849999999,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.691589000000022,80.79858599999989,26.026638999999705,11.645,88.15,28.383,1012.0,948.0,117.51681399999961,run
bbsplus.jsonl,json-bbs-plus,5,0.2,9.806005999999797,75.69778700000006,23.201606999999967,10.691,86.662,25.286,1012.0,948.0,108.70539999999983,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.349733000000015,80.38422100000025,24.518050000000585,11.279,88.268,26.742,1012.0,948.0,115.25200400000085,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.162612000000081,78.07821800000056,24.13107199999922,11.081,89.924,26.32,1012.0,948.0,112.37190199999986,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.620783000000301,78.96156599999995,24.10368500000004,11.571,87.853,26.652,1012.0,948.0,113.68603400000029,run
bbsplus.jsonl,json-bbs-plus,5,0.2,11.379187000000456,90.10608599999978,34.06400600000052,12.702,99.972,37.147,1012.0,948.0,135.54927900000075,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.346371999999974,78.20786799999951,23.895183999999972,11.277,89.943,29.875,1012.0,948.0,112.44942399999945,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.597690000000512,83.8130000000001,23.991508999999496,20.96,107.181,26.165,1012.0,948.0,118.40219900000011,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.762821999999687,79.57620000000043,24.631742999999915,12.288,87.375,26.852,1012.0,948.0,114.97076500000003,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.71540399999958,79.07741000000078,23.352246999999807,12.745,87.352,25.467,1012.0,948.0,113.14506100000017,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.612369999999828,78.16483900000003,23.933280000000195,11.546,86.399,26.102,1012.0,948.0,112.71048900000005,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.65849900000012,79.69527199999993,24.615733999999975,15.371,91.852,27.454,1012.0,948.0,114.96950500000003,run
bbsplus.jsonl,json-bbs-plus,5,0.2,10.003394000000299,74.08380899999975,23.478264999999737,11.045,82.229,25.606,1012.0,948.0,107.56546799999978,run
bbsplus.jsonl,json-bbs-plus,5,0.2,9.868026999999529,76.55628999999954,24.28769999999986,10.762,86.635,26.491,1012.0,948.0,110.71201699999892,run
