base_impl,attrCount,revealRatio,desktop_wallet_ms,mobile_wallet_ms,raspberry_pi_wallet_ms,desktop_verifier_ms,mobile_verifier_ms,raspberry_pi_verifier_ms
bbs2023-digitalbazaar,5,0.8,168.4915490000004,800.1089092399989,3732.7528057000018,64.04450059999988,292.84328766000283,1448.2543811400094
bbs2023-pairing-crypto,5,0.8,43.75473430000009,163.9331385000002,878.6362120193243,7.204945679999874,25.555124660000438,154.5204129999876
json-bbs-plus,5,0.8,78.40189456000003,267.84554612000034,1476.5081512215734,24.723548879999836,80.6206324399999,468.6230234184861
jwt-legacy,5,0.8,3.3774326799999836,27.941553980000045,54.68047923999962,0.23295602000001964,2.8623198999999477,3.2541111799999634
bbs2023-digitalbazaar,6,0.8,180.56364100000036,857.7398739999999,4058.307113580019,67.00465475999926,309.00798919999625,1534.6165022199973
bbs2023-pairing-crypto,6,0.8,43.03357127999996,175.1948908400003,917.6312182794511,7.424240419999842,25.94886006000015,167.86158038035035
json-bbs-plus,6,0.8,82.2341933199999,300.11981853999924,1537.5199880212544,25.73451497999995,83.38793078000076,480.38381889909505
jwt-legacy,6,0.8,2.9320514800000637,25.621529200000115,46.573340000000535,0.19562212000000728,2.5603507999999784,2.928438839999944
bbs2023-digitalbazaar,7,0.8,190.89453342000053,911.6427723199897,4334.633302339996,70.7066867000013,328.81529386000244,1628.3885074200389
bbs2023-pairing-crypto,7,0.8,43.7717483800005,176.86676152000058,948.8963000796736,7.422010620000801,26.501989220000688,167.94323740005493
json-bbs-plus,7,0.8,85.90399698000009,309.10324626000016,1595.3604856792092,26.81840530000016,86.13221853999944,493.5678570780158
jwt-legacy,7,0.8,2.7358734799999547,24.94946616000001,44.24907021999985,0.19457484000005934,2.65546617999993,2.93625017999977
bbs2023-digitalbazaar,8,0.8,204.94808891999827,962.2037246800121,4609.5270809799895,75.18418587999942,345.4177369000018,1718.7678368999996
bbs2023-pairing-crypto,8,0.8,46.30659386000043,181.93745535999943,978.28269923985,7.5645235399995,25.964112319999842,167.75908829927445
json-bbs-plus,8,0.8,88.67059723999992,316.9792876199947,1654.6804946792126,27.40057628000126,87.71824926000205,505.9799394395948
jwt-legacy,8,0.8,2.7216293999998378,24.67506613999991,43.80463644000003,0.21325086000008014,2.6875399999999354,2.7467650200000207
bbs2023-digitalbazaar,9,0.8,214.6130521400011,1030.6776061600167,4896.214262219984,78.45700145999609,369.40008932000956,1810.01997940002
bbs2023-pairing-crypto,9,0.8,47.01644741999975,184.45391863999888,1004.9377766588331,7.376869200000219,25.834024559999815,167.58572358101605
json-bbs-plus,9,0.8,92.169625980001,325.74724919999716,1712.2316575998068,27.76183021999983,89.54266453999327,517.2185287010669
jwt-legacy,9,0.8,2.6263667200001874,23.87592929999926,42.68523586000054,0.1969696800001111,2.6676799799999573,2.61398911999946
bbs2023-digitalbazaar,10,0.8,224.7034960999945,1031.084521680004,5172.780955839958,81.84204217999708,372.9999569399841,1907.854670720063
bbs2023-pairing-crypto,10,0.8,48.38975288000016,188.6695815399976,1037.030655220747,7.413774580000318,25.8972877399961,168.2145619803667
json-bbs-plus,10,0.8,94.30879379999999,335.3785801399965,1773.3024800404905,28.0782343400002,91.61730618000496,528.9362270590663
jwt-legacy,10,0.8,2.9912699600000634,24.145407679999334,42.429042439999755,0.23323129999997036,2.580336879999959,2.6515651399991476
